,team_name,mlb_team_id
0,angels,108
1,astros,117
2,athletics,133
3,bluejays,141
4,braves,144
5,brewers,158
6,cardinals,138
7,cubs,112
8,diamondbacks,109
9,dodgers,119
10,giants,137
11,guardians,114
12,mariners,136
13,marlins,146
14,mets,121
15,nationals,120
16,orioles,110
17,padres,135
18,phillies,143
19,pirates,134
20,rangers,140
21,rays,139
22,reds,113
23,redsox,111
24,rockies,115
25,royals,118
26,tigers,116
27,twins,142
28,whitesox,145
29,yankees,147
